Sample_name	scaffold_name	taxID	tax_name	Avg._log_e-value	species	genus	family	order	class	phylum	kingdom	superkingdom	Avg_fold	Length	Ref_GC	Nr_ORFs	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SRR7892471	NODE_14_length_10157_cov_58.531647	1236517.0	Prevotella fusca JCM 17724	-450.0	Prevotella fusca	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	286.2395	10157	0.4964	8.0	99.9606	10153	16911	16802	0.5038	178	349.54
SRR7892471	NODE_16_length_9702_cov_58.224416	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	305.5642	9702	0.6095	8.0	100.0	9702	17443	17434	0.5664	97	817.81
SRR7892471	NODE_18_length_9266_cov_24.561541	2070184.0	Faecalibacterium phage FP_Lugh	-450.0			Siphoviridae	Caudovirales				Viruses	114.3479	9266	0.5672	15.0	100.0	9266	6106	6040	0.5297	66	119.48
SRR7892471	NODE_19_length_9217_cov_12.408972	853.0	Faecalibacterium prausnitzii	-144.00568284733		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	53.329	9217	0.4712	10.0	100.0	9217	2738	2742	0.4763	43	43.05
SRR7892471	NODE_20_length_9069_cov_32.860543	2070184.0	Faecalibacterium phage FP_Lugh	-94.537602002101			Siphoviridae	Caudovirales				Viruses	162.2133	9069	0.5503	17.0	99.6802	9040	8589	8490	0.5361	124	136.82
SRR7892471	NODE_21_length_8940_cov_15.844522	186802.0	Clostridiales	-450.0					Clostridia	Firmicutes		Bacteria	74.2737	8940	0.5359	7.0	99.8658	8928	3811	3807	0.5259	56	67.13
SRR7892471	NODE_22_length_8925_cov_14.613924	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	67.9964	8925	0.5292	8.0	100.0	8925	3504	3499	0.5241	54	46.33
SRR7892471	NODE_23_length_8924_cov_16.232169	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	82.7394	8924	0.5952	9.0	98.9467	8830	4298	4263	0.5883	58	78.7
SRR7892471	NODE_24_length_8727_cov_16.144855	1131317.0	Escherichia phage FV3	-450.0	Escherichia virus FV3	Vequintavirus	Myoviridae	Caudovirales				Viruses	69.8822	8727	0.4499	8.0	99.7021	8701	3408	3396	0.4555	58	54.55
SRR7892471	NODE_25_length_8595_cov_26.151209	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	127.4136	8595	0.6062	7.0	99.9767	8593	6334	6334	0.5818	73	131.95
SRR7892471	NODE_26_length_8355_cov_17.917130	357276.0	Bacteroides dorei	-450.0		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	78.9922	8355	0.4423	7.0	100.0	8355	3595	3616	0.4478	59	61.74
SRR7892471	NODE_27_length_8321_cov_11.179888	38018.0	unidentified phage	-39.542118103266								Viruses	52.087	8321	0.5945	2.0	100.0	8321	2482	2470	0.5644	37	59.92
SRR7892471	NODE_28_length_8128_cov_17.960626	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	84.6555	8128	0.5389	8.0	99.9877	8127	3915	3906	0.5377	54	78.02
SRR7892471	NODE_29_length_8044_cov_25.475712	657322.0	Faecalibacterium prausnitzii SL3/3	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	112.5077	8044	0.4544	10.0	100.0	8044	5080	5054	0.4683	76	100.56
SRR7892471	NODE_30_length_7997_cov_22.267424	264731.0	Prevotella ruminicola 23	-450.0	Prevotella ruminicola	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	100.7238	7997	0.4922	5.0	99.6249	7967	4566	4561	0.4899	76	86.57
SRR7892471	NODE_31_length_7889_cov_14.731439	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	71.9596	7889	0.5702	6.0	100.0	7889	3301	3286	0.5433	47	60.33
SRR7892471	NODE_32_length_7742_cov_20.338813	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	98.6715	7742	0.4926	13.0	100.0	7742	4417	4409	0.4872	73	86.46
SRR7892471	NODE_33_length_7645_cov_14.919133	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	69.978	7645	0.4744	8.0	100.0	7645	3049	3034	0.4694	47	63.98
SRR7892471	NODE_34_length_7590_cov_18.366565	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	82.3482	7590	0.4872	12.0	99.9341	7585	3577	3563	0.5055	58	70.41
SRR7892471	NODE_35_length_7554_cov_11.743614	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	55.1541	7554	0.5398	10.0	100.0	7554	2410	2403	0.5436	35	65.34
SRR7892471	NODE_36_length_7522_cov_23.320618	371601.0	Bacteroides xylanisolvens	-450.0		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	99.3534	7522	0.4274	11.0	100.0	7522	4132	4122	0.4342	47	113.63
SRR7892471	NODE_37_length_7473_cov_182.542455	12092.0	Hepatovirus A	-450.0		Hepatovirus	Picornaviridae	Picornavirales				Viruses	800.6624	7473	0.3854	1.0	100.0	7473	33164	33019	0.385	458	838.59
SRR7892471	NODE_38_length_7429_cov_16.176823	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	76.046	7429	0.5304	8.0	99.5558	7396	3245	3252	0.5243	49	82.79
SRR7892471	NODE_39_length_7394_cov_19.696324	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	89.3047	7394	0.4355	11.0	99.5537	7361	3717	3729	0.4461	61	93.53
SRR7892471	NODE_40_length_7374_cov_22.485268	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	111.8816	7374	0.5393	5.0	100.0	7374	4807	4806	0.5215	50	241.9
SRR7892471	NODE_41_length_7365_cov_11.941411	908937.0	Prevotella dentalis DSM 3688	-109.081969663215	Prevotella dentalis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	56.0236	7365	0.54	5.0	99.7828	7349	2406	2394	0.5426	34	68.87
SRR7892471	NODE_42_length_7248_cov_22.245015	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	109.4437	7248	0.4574	12.0	99.9724	7246	4591	4595	0.4312	81	94.05
SRR7892471	NODE_44_length_7102_cov_13.209253	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	64.4257	7102	0.5767	16.0	100.0	7102	2652	2664	0.5593	50	50.22
SRR7892471	NODE_45_length_7039_cov_17.775496	1.0	root	-15.1555228242543									82.3834	7039	0.5693	7.0	99.8437	7028	3338	3329	0.531	50	98.51
SRR7892471	NODE_46_length_6992_cov_57.825886	28131.0	Prevotella intermedia	-110.216811308925		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	259.4338	6992	0.5047	6.0	100.0	6992	10221	10234	0.4889	152	257.48
SRR7892471	NODE_48_length_6654_cov_12.487152	1675606.0	Escherichia phage Murica	-450.0	Escherichia virus Murica	Vequintavirus	Myoviridae	Caudovirales				Viruses	54.5957	6654	0.4602	4.0	99.7595	6638	2032	2037	0.4664	50	33.98
SRR7892471	NODE_49_length_6605_cov_21.524203	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	94.8762	6605	0.5257	10.0	99.894	6598	3508	3522	0.4695	55	133.04
SRR7892471	NODE_50_length_6442_cov_22.995915	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	105.5203	6442	0.4997	6.0	99.0065	6378	3875	3870	0.5084	77	106.52
SRR7892471	NODE_51_length_6433_cov_19.135777	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	91.0072	6433	0.5683	6.0	99.7979	6420	3378	3372	0.5427	51	94.42
SRR7892471	NODE_52_length_6414_cov_22.573142	908937.0	Prevotella dentalis DSM 3688	-450.0	Prevotella dentalis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	107.3282	6414	0.5304	3.0	99.5479	6385	3973	3981	0.5447	82	103.58
SRR7892471	NODE_53_length_6345_cov_17.305361	155900.0	uncultured organism	-25.761953896871198									76.8544	6345	0.5128	5.0	100.0	6345	2778	2771	0.5218	65	56.1
SRR7892471	NODE_54_length_6281_cov_11.067859	2576874.0	Escherichia phage vB_EcoM-ECP32	-450.0		Vequintavirus	Myoviridae	Caudovirales				Viruses	46.2527	6281	0.4498	8.0	100.0	6281	1609	1612	0.4494	34	36.65
SRR7892471	NODE_55_length_6266_cov_25.066247	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	116.6968	6266	0.5851	9.0	99.9042	6260	4227	4209	0.5699	92	99.81
SRR7892471	NODE_56_length_6204_cov_9.865513	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	45.2919	6204	0.5234	7.0	99.9839	6203	1596	1602	0.5156	30	52.02
SRR7892471	NODE_57_length_6193_cov_19.277959	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	91.2375	6193	0.5414	8.0	99.9677	6191	3237	3243	0.5431	70	79.8
SRR7892471	NODE_58_length_6131_cov_8.859762	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	42.2838	6131	0.5681	7.0	100.0	6131	1520	1518	0.5307	22	54.05
SRR7892471	NODE_59_length_6061_cov_10.118316	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	47.8113	6061	0.539	6.0	99.2905	6018	1692	1690	0.5454	34	43.97
SRR7892471	NODE_60_length_6006_cov_12.601619	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	62.2474	6006	0.5721	3.0	100.0	6006	2173	2175	0.5552	42	55.96
SRR7892471	NODE_62_length_5973_cov_24.143148	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	124.0638	5973	0.6156	8.0	100.0	5973	4388	4386	0.5794	85	141.09
SRR7892471	NODE_63_length_5900_cov_8.088786	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	40.4698	5900	0.5739	6.0	100.0	5900	1385	1391	0.5656	30	37.91
SRR7892471	NODE_64_length_5887_cov_6.860929	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	35.5293	5887	0.582	8.0	99.9151	5882	1214	1220	0.5712	26	32.63
SRR7892471	NODE_65_length_5882_cov_7.706632	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	39.9534	5882	0.5058	5.0	100.0	5882	1463	1468	0.5198	25	48.17
SRR7892471	NODE_66_length_5837_cov_18.553125	2530393.0	Muribaculum sp. H5	-13.0132282657338		Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	82.9639	5837	0.509	4.0	100.0	5837	2737	2733	0.5161	63	67.25
SRR7892471	NODE_67_length_5757_cov_9.638732	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	47.3434	5757	0.5756	10.0	100.0	5757	1562	1576	0.5632	40	36.89
SRR7892471	NODE_68_length_5663_cov_86.745972	1485.0	Clostridium	-1.3565473235138101			Clostridiaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	504.3219	5663	0.3027	9.0	99.4879	5634	17195	17177	0.352	234	755.68
SRR7892471	NODE_70_length_5577_cov_17.140000	2479767.0	Blautia sp. SC05B48	-450.0		Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes		Bacteria	82.5166	5577	0.5125	5.0	100.0	5577	2664	2651	0.5081	68	58.84
SRR7892471	NODE_72_length_5544_cov_14.923724	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	68.3068	5544	0.5722	5.0	100.0	5544	2176	2176	0.5836	39	67.23
SRR7892471	NODE_73_length_5517_cov_21.961581	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	101.1452	5517	0.5695	5.0	100.0	5517	3213	3222	0.5679	65	111.25
SRR7892471	NODE_74_length_5512_cov_6.992088	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	34.5958	5512	0.5902	5.0	99.9819	5511	1147	1146	0.5757	26	28.92
SRR7892471	NODE_75_length_5462_cov_15.825812	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	73.8614	5462	0.5557	5.0	100.0	5462	2319	2322	0.5329	56	58.98
SRR7892471	NODE_76_length_5458_cov_10.136592	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	47.9725	5458	0.5227	7.0	100.0	5458	1506	1509	0.5141	39	34.15
SRR7892471	NODE_77_length_5457_cov_9.704089	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	49.2285	5457	0.5833	6.0	100.0	5457	1584	1584	0.5545	28	63.84
SRR7892471	NODE_78_length_5428_cov_11.735937	573.0	Klebsiella pneumoniae	-6.9318141382538405		Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	52.505	5428	0.5438	6.0	100.0	5428	1617	1610	0.5408	49	32.4
SRR7892471	NODE_79_length_5404_cov_15.770603	657322.0	Faecalibacterium prausnitzii SL3/3	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	70.3562	5404	0.4421	4.0	100.0	5404	2142	2133	0.4515	58	56.5
SRR7892471	NODE_80_length_5394_cov_10.277600	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	50.5847	5394	0.5434	6.0	99.9629	5392	1600	1595	0.5519	39	36.35
SRR7892471	NODE_84_length_5245_cov_37.312500	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	159.7882	5245	0.4826	6.0	99.8856	5239	4624	4624	0.4714	93	152.09
SRR7892471	NODE_85_length_5195_cov_11.234076	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	55.7093	5195	0.5825	6.0	100.0	5195	1701	1691	0.5771	43	45.62
SRR7892471	NODE_88_length_5092_cov_25.596610	908937.0	Prevotella dentalis DSM 3688	-450.0	Prevotella dentalis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes		Bacteria	125.9835	5092	0.5293	4.0	100.0	5092	3740	3752	0.5239	111	93.82
SRR7892471	NODE_89_length_5054_cov_10.752059	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	55.2893	5054	0.6015	4.0	100.0	5054	1653	1647	0.6024	33	58.15
SRR7892471	NODE_90_length_5049_cov_15.741352	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	72.2688	5049	0.5068	8.0	99.8217	5040	2056	2052	0.4938	30	96.18
SRR7892471	NODE_91_length_5042_cov_24.719637	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	115.6293	5042	0.5409	8.0	99.286	5006	3355	3356	0.5533	85	106.74
SRR7892471	NODE_92_length_4987_cov_7.707332	2502307.0	Escherichia phage EdH4	-450.0		Vequintavirus	Myoviridae	Caudovirales				Viruses	35.4375	4987	0.4383	6.0	99.8997	4982	1002	1007	0.4421	20	36.31
SRR7892471	NODE_93_length_4976_cov_8.572362	1914852.0	Vequintavirus	-450.0			Myoviridae	Caudovirales				Viruses	40.241	4976	0.4208	14.0	100.0	4976	1163	1159	0.4188	29	34.38
SRR7892471	NODE_94_length_4951_cov_5.835248	718252.0	Faecalibacterium prausnitzii L2-6	-2.5228787452803396	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	28.0723	4951	0.5736	7.0	100.0	4951	813	811	0.5623	22	20.38
SRR7892471	NODE_95_length_4948_cov_23.062000	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	105.1144	4948	0.5705	5.0	100.0	4948	2962	2963	0.5653	56	133.11
SRR7892471	NODE_96_length_4930_cov_31.059551	2070184.0	Faecalibacterium phage FP_Lugh	-115.372634143407			Siphoviridae	Caudovirales				Viruses	143.1521	4930	0.5458	12.0	100.0	4930	4059	4048	0.5425	94	125.2
SRR7892471	NODE_97_length_4902_cov_7.341140	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	36.7648	4902	0.5818	4.0	99.898	4897	1068	1062	0.57	27	31.66
SRR7892471	NODE_98_length_4898_cov_13.983199	1775411.0	Rhodanobacteraceae	-95.08412588421369				Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	62.8918	4898	0.5423	4.0	99.6938	4883	1757	1759	0.5468	48	53.16
SRR7892471	NODE_99_length_4878_cov_13.301604	718252.0	Faecalibacterium prausnitzii L2-6	-5.86646109162978	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	55.5558	4878	0.4323	5.0	100.0	4878	1497	1499	0.4429	33	59.53
SRR7892471	NODE_100_length_4843_cov_9.601133	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	42.3828	4843	0.4762	4.0	99.8555	4836	1161	1157	0.4756	32	32.72
SRR7892471	NODE_101_length_4816_cov_20.168812	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	99.1213	4816	0.56	4.0	100.0	4816	2756	2771	0.5483	64	113.6
SRR7892471	NODE_102_length_4803_cov_8.996191	186803.0	Lachnospiraceae	-15.692979425295201				Clostridiales	Clostridia	Firmicutes		Bacteria	42.458	4803	0.4191	8.0	100.0	4803	1178	1176	0.4321	27	39.49
SRR7892471	NODE_103_length_4721_cov_9.950904	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	46.3565	4721	0.4813	4.0	100.0	4721	1263	1264	0.4669	33	44.64
SRR7892471	NODE_104_length_4715_cov_23.876455	2576874.0	Escherichia phage vB_EcoM-ECP32	-450.0		Vequintavirus	Myoviridae	Caudovirales				Viruses	103.2817	4715	0.4501	10.0	98.982	4667	2713	2711	0.4547	53	130.13
SRR7892471	NODE_105_length_4682_cov_19.677090	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	89.1215	4682	0.5222	6.0	100.0	4682	2365	2363	0.5176	46	81.94
SRR7892471	NODE_106_length_4671_cov_10.665215	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	51.0938	4671	0.5564	6.0	99.4434	4645	1387	1389	0.5456	34	51.36
SRR7892471	NODE_107_length_4655_cov_7.887724	853.0	Faecalibacterium prausnitzii	-450.0		Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	42.2354	4655	0.6127	2.0	100.0	4655	1175	1168	0.6054	32	33.78
SRR7892471	NODE_108_length_4641_cov_10.317923	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	46.187	4641	0.571	4.0	99.7845	4631	1230	1234	0.5665	44	26.56
SRR7892471	NODE_109_length_4638_cov_24.592414	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	115.4118	4638	0.5612	6.0	100.0	4638	3098	3085	0.5418	79	119.59
SRR7892471	NODE_110_length_4628_cov_16.341244	657322.0	Faecalibacterium prausnitzii SL3/3	-55.363512103646606	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	76.8911	4628	0.5153	4.0	100.0	4628	2037	2042	0.506	44	92.94
SRR7892471	NODE_111_length_4595_cov_18.778663	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	85.6849	4595	0.5106	3.0	99.7606	4584	2252	2253	0.4878	54	77.36
SRR7892471	NODE_112_length_4561_cov_10.500223	718252.0	Faecalibacterium prausnitzii L2-6	-450.0	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria	51.1313	4561	0.5793	3.0	100.0	4561	1363	1366	0.5935	44	35.83
