Sample_name	scaffold_name	Avg_fold	Length	Ref_GC	Nr_ORFs	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SRR7892471	NODE_89_length_2193_cov_1.412875	98.3976	2193	0.5682	2.0	99.7264	2187	1273	1274	0.5667	50	96.86
SRR7892471	NODE_95_length_2173_cov_4.991202	288.8362	2173	0.347	3.0	100.0	2173	3645	3626	0.3574	239	247.62
SRR7892471	NODE_99_length_2151_cov_0.705534	23.6616	2151	0.4547	1.0	100.0	2151	286	283	0.4459	14	20.97
SRR7892471	NODE_109_length_2084_cov_3.731732	274.8345	2084	0.5859	3.0	100.0	2084	3337	3327	0.5818	153	290.07
SRR7892471	NODE_110_length_2083_cov_11.646217	640.1215	2083	0.3591	3.0	100.0	2083	7586	7600	0.3663	272	750.07
SRR7892471	NODE_114_length_2066_cov_8.804023	484.5111	2066	0.5828	6.0	100.0	2066	5776	5776	0.5678	475	298.44
SRR7892471	NODE_115_length_2062_cov_0.946253	48.1877	2062	0.4631	3.0	100.0	2062	568	567	0.4906	28	51.85
SRR7892471	NODE_117_length_2050_cov_0.565263	27.7868	2050	0.4746	3.0	99.9512	2049	324	322	0.4855	23	18.82
SRR7892471	NODE_121_length_2045_cov_0.523983	35.4748	2045	0.5496	3.0	99.6577	2038	424	425	0.5448	27	27.17
SRR7892471	NODE_123_length_2037_cov_0.100524	9.6701	2037	0.4669	2.0	97.3	1982	151	151	0.4704	8	10.26
SRR7892471	NODE_125_length_2026_cov_0.977357	67.2626	2026	0.4072	6.0	98.9141	2004	811	823	0.4363	17	97.05
SRR7892471	NODE_127_length_2022_cov_0.405805	25.0178	2022	0.4639	3.0	100.0	2022	315	327	0.4764	18	20.8
SRR7892471	NODE_136_length_2007_cov_0.181383	7.6906	2007	0.3941	2.0	96.7115	1941	89	95	0.4377	5	7.62
SRR7892471	NODE_138_length_2004_cov_0.452850	21.4306	2004	0.4726	3.0	100.0	2004	256	257	0.4653	14	22.82
SRR7892471	NODE_141_length_1998_cov_0.476750	24.0656	1998	0.457	4.0	100.0	1998	275	277	0.4708	18	20.72
SRR7892471	NODE_142_length_1997_cov_23.973262	1218.7361	1997	0.5308	1.0	100.0	1997	13746	13752	0.517	577	1572.13
SRR7892471	NODE_154_length_1952_cov_4.926575	332.9426	1952	0.5815	4.0	100.0	1952	3777	3772	0.5721	243	254.75
SRR7892471	NODE_155_length_1951_cov_0.753289	37.4741	1951	0.4552	3.0	100.0	1951	461	454	0.4499	21	36.08
SRR7892471	NODE_159_length_1944_cov_0.198129	16.1085	1944	0.3879	1.0	100.0	1944	188	188	0.4021	10	16.49
SRR7892471	NODE_161_length_1940_cov_2.434087	117.7273	1940	0.4902	3.0	100.0	1940	1369	1349	0.4913	118	73.04
SRR7892471	NODE_165_length_1931_cov_3.408537	153.1176	1931	0.4811	2.0	100.0	1931	1703	1693	0.4755	72	169.37
SRR7892471	NODE_167_length_1926_cov_0.302390	12.703	1926	0.3676	5.0	100.0	1926	147	146	0.3785	8	11.55
SRR7892471	NODE_169_length_1920_cov_0.230898	10.288	1920	0.6021	1.0	97.5521	1873	115	115	0.5973	6	11.7
SRR7892471	NODE_172_length_1915_cov_1.492170	76.8287	1915	0.5081	2.0	100.0	1915	854	857	0.5239	65	56.09
SRR7892471	NODE_173_length_1912_cov_0.598319	37.8138	1912	0.5309	2.0	100.0	1912	430	437	0.5358	31	25.12
SRR7892471	NODE_174_length_1910_cov_0.200785	12.1649	1910	0.5618	5.0	99.1623	1894	138	149	0.5678	10	8.22
SRR7892471	NODE_175_length_1909_cov_0.294613	14.0304	1909	0.571	4.0	100.0	1909	155	154	0.5642	12	8.14
SRR7892471	NODE_181_length_1899_cov_0.746614	31.4639	1899	0.5113	2.0	100.0	1899	337	348	0.5048	30	15.54
SRR7892471	NODE_199_length_1866_cov_0.690627	35.865	1866	0.3992	2.0	99.5713	1858	376	377	0.405	33	24.94
SRR7892471	NODE_207_length_1851_cov_1.353248	56.7893	1851	0.4576	3.0	100.0	1851	619	614	0.4643	53	35.93
SRR7892471	NODE_219_length_1826_cov_0.931136	39.6752	1826	0.4847	2.0	100.0	1826	418	420	0.5029	31	28.73
SRR7892471	NODE_220_length_1823_cov_0.290684	23.3566	1823	0.5332	2.0	100.0	1823	266	270	0.5168	22	13.78
SRR7892471	NODE_221_length_1821_cov_1.076741	43.9506	1821	0.4728	2.0	100.0	1821	454	449	0.4943	40	27.18
SRR7892471	NODE_227_length_1810_cov_0.190731	12.1901	1810	0.4917	6.0	100.0	1810	134	141	0.4818	11	7.76
SRR7892471	NODE_240_length_1782_cov_0.458610	21.8664	1782	0.4169	1.0	100.0	1782	213	221	0.4236	19	13.44
SRR7892471	NODE_245_length_1779_cov_2.173729	102.1759	1779	0.4295	4.0	100.0	1779	1065	1054	0.4363	93	45.71
SRR7892471	NODE_269_length_1746_cov_4.755405	260.0011	1746	0.3568	2.0	100.0	1746	2602	2596	0.3684	203	187.81
SRR7892471	NODE_293_length_1717_cov_0.102516	10.8264	1717	0.4508	1.0	100.0	1717	117	104	0.4418	10	7.27
SRR7892471	NODE_299_length_1706_cov_0.146295	8.4947	1706	0.4256	1.0	97.1278	1657	86	86	0.4257	8	5.02
SRR7892471	NODE_310_length_1689_cov_3.691421	199.2339	1689	0.4002	1.0	100.0	1689	2004	1935	0.4151	186	124.28
SRR7892471	NODE_331_length_1662_cov_0.736156	41.7286	1662	0.5927	5.0	100.0	1662	395	402	0.5818	38	19.74
SRR7892471	NODE_334_length_1658_cov_2.670150	119.2714	1658	0.4331	7.0	100.0	1658	1106	1109	0.4382	111	65.57
SRR7892471	NODE_342_length_1650_cov_3.723572	146.2091	1650	0.4067	2.0	100.0	1650	1366	1366	0.4247	125	96.02
SRR7892471	NODE_343_length_1649_cov_1.467148	76.225	1649	0.3827	3.0	100.0	1649	739	728	0.3903	76	37.74
SRR7892471	NODE_345_length_1649_cov_0.193167	17.5992	1649	0.453	1.0	100.0	1649	183	187	0.4543	17	7.91
SRR7892471	NODE_348_length_1644_cov_0.274225	16.9203	1644	0.503	2.0	100.0	1644	167	169	0.4903	15	10.3
SRR7892471	NODE_360_length_1633_cov_2.355910	106.1194	1633	0.4703	1.0	100.0	1633	971	962	0.4697	67	86.23
SRR7892471	NODE_369_length_1625_cov_0.328438	20.6166	1625	0.4012	2.0	99.9385	1624	200	198	0.4014	20	10.46
SRR7892471	NODE_371_length_1623_cov_0.250000	27.902	1623	0.3765	2.0	100.0	1623	276	275	0.3946	25	21.17
SRR7892471	NODE_374_length_1620_cov_6.387140	316.8062	1620	0.5093	2.0	99.8148	1617	2941	2975	0.4924	300	219.92
SRR7892471	NODE_375_length_1620_cov_0.305425	8.058	1620	0.4142	2.0	99.5062	1612	74	75	0.4283	6	5.86
SRR7892471	NODE_376_length_1619_cov_0.118633	10.3267	1619	0.4978	1.0	99.3206	1608	100	98	0.4938	9	5.5
SRR7892471	NODE_382_length_1614_cov_0.448554	38.5173	1614	0.3879	3.0	100.0	1614	382	379	0.4126	37	19.81
SRR7892471	NODE_383_length_1614_cov_0.181574	11.7906	1614	0.495	1.0	99.2565	1602	107	108	0.5023	11	6.18
SRR7892471	NODE_396_length_1600_cov_0.544467	23.0156	1600	0.3313	4.0	99.4375	1591	220	216	0.3545	21	11.68
SRR7892471	NODE_402_length_1595_cov_3.225477	137.6326	1595	0.5041	2.0	100.0	1595	1245	1242	0.5016	121	83.21
SRR7892471	NODE_424_length_1575_cov_0.157459	10.1168	1575	0.4317	2.0	100.0	1575	107	106	0.4398	9	5.6
SRR7892471	NODE_431_length_1570_cov_0.182952	7.6904	1570	0.4076	2.0	95.414	1498	70	70	0.3982	6	6.52
SRR7892471	NODE_437_length_1563_cov_5.543872	275.7518	1563	0.4095	1.0	100.0	1563	2536	2477	0.4256	229	203.08
SRR7892471	NODE_444_length_1554_cov_2.086195	98.4331	1554	0.5322	2.0	100.0	1554	904	885	0.5364	81	71.84
SRR7892471	NODE_446_length_1553_cov_1.155680	74.132	1553	0.519	3.0	100.0	1553	668	672	0.4643	37	110.82
SRR7892471	NODE_455_length_1548_cov_1.432090	84.314	1548	0.3469	2.0	100.0	1548	765	761	0.3708	85	60.07
SRR7892471	NODE_464_length_1540_cov_2.322010	105.9571	1540	0.4909	1.0	100.0	1540	919	931	0.4759	108	50.84
SRR7892471	NODE_468_length_1537_cov_0.268085	17.8699	1537	0.4073	3.0	99.8699	1535	162	161	0.4121	17	10.74
SRR7892471	NODE_475_length_1531_cov_0.195869	19.6401	1531	0.5839	1.0	100.0	1531	235	228	0.588	14	17.9
SRR7892471	NODE_477_length_1527_cov_0.892143	39.1984	1527	0.4728	1.0	99.6071	1521	338	332	0.473	41	26.97
SRR7892471	NODE_480_length_1525_cov_0.273247	14.8151	1525	0.4584	1.0	100.0	1525	138	143	0.4509	12	10.28
SRR7892471	NODE_481_length_1525_cov_0.200286	7.4584	1525	0.478	5.0	100.0	1525	88	88	0.4701	6	7.13
SRR7892471	NODE_485_length_1521_cov_0.172884	10.858	1521	0.4852	2.0	97.4359	1482	100	104	0.4852	11	7.7
SRR7892471	NODE_489_length_1516_cov_2.816415	146.7797	1516	0.566	2.0	100.0	1516	1334	1295	0.5692	135	78.45
SRR7892471	NODE_490_length_1516_cov_0.666667	36.8602	1516	0.4967	1.0	100.0	1516	352	335	0.5003	27	27.06
SRR7892471	NODE_491_length_1515_cov_0.300432	19.4673	1515	0.497	2.0	100.0	1515	184	186	0.4861	16	12.57
SRR7892471	NODE_499_length_1511_cov_0.451590	32.9596	1511	0.3614	5.0	100.0	1511	289	297	0.4284	18	29.49
SRR7892471	NODE_503_length_1509_cov_2.325615	84.9085	1509	0.3724	1.0	100.0	1509	730	730	0.3934	72	62.68
SRR7892471	NODE_505_length_1508_cov_0.226647	11.9257	1508	0.4602	1.0	98.8064	1490	103	105	0.4514	11	7.86
SRR7892471	NODE_508_length_1506_cov_1.021755	53.172	1506	0.3546	3.0	100.0	1506	451	457	0.3886	53	37.45
SRR7892471	NODE_510_length_1503_cov_0.255087	12.6341	1503	0.5968	1.0	100.0	1503	117	122	0.575	12	8.15
SRR7892471	NODE_517_length_1501_cov_0.235808	12.7049	1501	0.437	4.0	100.0	1501	115	115	0.4193	10	10.33
SRR7892471	NODE_518_length_1501_cov_0.045852	5.8361	1501	0.465	1.0	99.6003	1495	63	63	0.4733	5	3.22
SRR7892471	NODE_520_length_1499_cov_0.195335	11.2428	1499	0.5544	2.0	100.0	1499	100	104	0.5599	8	7.51
SRR7892471	NODE_533_length_1489_cov_1.067548	50.0645	1489	0.6105	2.0	99.0598	1475	429	415	0.5975	41	33.22
SRR7892471	NODE_534_length_1488_cov_2.470977	139.8132	1488	0.328	3.0	100.0	1488	1213	1212	0.3477	116	96.75
SRR7892471	NODE_549_length_1476_cov_0.039288	7.332	1476	0.4228	1.0	100.0	1476	73	74	0.4252	6	4.46
SRR7892471	NODE_553_length_1474_cov_0.288048	8.0414	1474	0.3874	2.0	99.4573	1466	71	70	0.3945	6	6.48
SRR7892471	NODE_555_length_1473_cov_0.563150	20.0068	1473	0.37	3.0	99.5248	1466	156	157	0.4002	13	18.33
SRR7892471	NODE_560_length_1471_cov_0.299851	26.516	1471	0.4548	1.0	99.7281	1467	214	217	0.4452	27	15.2
SRR7892471	NODE_561_length_1470_cov_3.152643	119.2565	1470	0.4612	2.0	100.0	1470	961	965	0.4524	74	115.87
SRR7892471	NODE_564_length_1469_cov_0.272727	16.2662	1469	0.3812	3.0	100.0	1469	136	135	0.39	13	12.24
SRR7892471	NODE_568_length_1466_cov_0.427931	23.9345	1466	0.5512	1.0	100.0	1466	206	206	0.5392	15	22.2
SRR7892471	NODE_570_length_1465_cov_1.110613	50.0546	1465	0.5863	2.0	98.4983	1443	432	418	0.5777	34	43.46
SRR7892471	NODE_575_length_1463_cov_1.339820	89.1784	1463	0.4087	2.0	100.0	1463	771	745	0.4485	36	109.74
SRR7892471	NODE_578_length_1463_cov_0.141467	14.5878	1463	0.4798	2.0	94.1217	1377	163	161	0.4671	8	17.87
SRR7892471	NODE_579_length_1462_cov_3.546816	170.762	1462	0.3536	3.0	100.0	1462	1436	1447	0.3634	172	62.0
SRR7892471	NODE_580_length_1462_cov_0.468914	20.8235	1462	0.3981	2.0	100.0	1462	182	183	0.4111	15	15.27
SRR7892471	NODE_589_length_1455_cov_0.406627	18.7017	1455	0.5519	2.0	100.0	1455	155	155	0.479	9	21.27
SRR7892471	NODE_594_length_1452_cov_1.491321	58.7996	1452	0.4904	2.0	100.0	1452	477	468	0.4959	48	36.21
SRR7892471	NODE_597_length_1449_cov_0.307110	11.5431	1449	0.4941	1.0	100.0	1449	101	102	0.4967	9	7.97
SRR7892471	NODE_602_length_1445_cov_0.159332	11.6602	1445	0.4913	1.0	99.8616	1443	108	104	0.4998	8	10.16
SRR7892471	NODE_610_length_1438_cov_1.260870	38.9889	1438	0.4381	1.0	100.0	1438	302	305	0.4391	37	21.38
SRR7892471	NODE_622_length_1434_cov_2.954093	144.2001	1434	0.4812	1.0	99.4421	1426	1171	1168	0.4806	92	129.3
SRR7892471	NODE_627_length_1433_cov_0.230475	16.5848	1433	0.605	2.0	100.0	1433	145	143	0.6003	14	11.48
SRR7892471	NODE_632_length_1431_cov_0.075920	7.8043	1431	0.5122	1.0	100.0	1431	67	67	0.5249	6	5.23
SRR7892471	NODE_633_length_1430_cov_8.953952	382.0552	1430	0.4657	2.0	100.0	1430	3045	3048	0.4451	256	347.62
SRR7892471	NODE_635_length_1429_cov_0.260369	17.8754	1429	0.4486	1.0	100.0	1429	145	148	0.4418	14	12.7
SRR7892471	NODE_636_length_1428_cov_3.076095	230.2024	1428	0.4923	1.0	100.0	1428	2021	1982	0.526	198	194.74
SRR7892471	NODE_647_length_1419_cov_0.157895	14.4912	1419	0.4799	2.0	98.7315	1401	119	120	0.4927	12	10.3
SRR7892471	NODE_649_length_1418_cov_0.697909	29.122	1418	0.3893	4.0	100.0	1418	227	229	0.4041	24	18.3
SRR7892471	NODE_652_length_1414_cov_2.088578	83.2546	1414	0.4498	2.0	100.0	1414	688	672	0.4372	39	82.5
SRR7892471	NODE_658_length_1413_cov_0.178849	9.8365	1413	0.3999	2.0	100.0	1413	82	82	0.4007	8	5.88
SRR7892471	NODE_660_length_1412_cov_0.239689	13.4143	1412	0.619	2.0	99.2918	1402	113	107	0.6227	12	7.26
SRR7892471	NODE_662_length_1411_cov_0.098910	5.5592	1411	0.433	3.0	100.0	1411	45	48	0.4272	5	3.27
SRR7892471	NODE_664_length_1410_cov_0.457521	26.0887	1410	0.4574	2.0	100.0	1410	234	227	0.4895	21	16.62
SRR7892471	NODE_665_length_1409_cov_0.836193	49.2378	1409	0.34	3.0	100.0	1409	409	410	0.3905	30	51.85
SRR7892471	NODE_668_length_1407_cov_0.359375	15.6155	1407	0.4741	2.0	100.0	1407	167	167	0.4619	12	16.36
SRR7892471	NODE_670_length_1403_cov_0.547806	23.6771	1403	0.4105	2.0	100.0	1403	200	213	0.4389	20	16.86
SRR7892471	NODE_686_length_1396_cov_0.649330	41.6282	1396	0.5652	5.0	100.0	1396	349	342	0.551	29	37.61
SRR7892471	NODE_691_length_1395_cov_0.130126	15.4846	1395	0.3935	3.0	95.3405	1330	154	155	0.4137	14	9.2
SRR7892471	NODE_692_length_1394_cov_0.243094	10.391	1394	0.4189	1.0	86.8723	1211	82	82	0.4214	10	8.24
SRR7892471	NODE_693_length_1394_cov_0.146803	11.561	1394	0.4541	2.0	100.0	1394	94	99	0.4467	10	7.76
SRR7892471	NODE_696_length_1391_cov_0.291139	45.3142	1391	0.3199	2.0	100.0	1391	422	431	0.3426	38	22.87
SRR7892471	NODE_700_length_1390_cov_0.131433	15.6259	1390	0.4899	1.0	98.4173	1368	132	132	0.4902	13	9.47
SRR7892471	NODE_701_length_1388_cov_0.123711	7.1427	1388	0.4582	2.0	95.389	1324	84	78	0.4668	7	7.66
SRR7892471	NODE_709_length_1385_cov_0.148649	9.6881	1385	0.491	1.0	100.0	1385	81	82	0.4924	8	5.17
SRR7892471	NODE_717_length_1382_cov_0.490837	24.8596	1382	0.563	1.0	100.0	1382	210	199	0.5584	21	12.46
SRR7892471	NODE_746_length_1368_cov_0.241741	14.5855	1368	0.4349	2.0	100.0	1368	122	127	0.4472	14	7.69
SRR7892471	NODE_751_length_1362_cov_0.464777	29.1623	1362	0.5947	2.0	100.0	1362	231	245	0.5851	21	23.13
SRR7892471	NODE_755_length_1361_cov_0.289303	11.144	1361	0.446	1.0	100.0	1361	101	101	0.4509	9	7.9
SRR7892471	NODE_760_length_1359_cov_0.271916	18.8322	1359	0.3127	2.0	100.0	1359	171	172	0.3344	15	11.33
SRR7892471	NODE_765_length_1357_cov_0.313821	26.5851	1357	0.5785	6.0	100.0	1357	228	256	0.571	20	27.29
SRR7892471	NODE_767_length_1357_cov_0.149593	10.042	1357	0.4746	1.0	100.0	1357	79	79	0.4778	7	7.92
SRR7892471	NODE_772_length_1352_cov_5.353469	238.6339	1352	0.4179	1.0	100.0	1352	1831	1814	0.4545	194	193.23
SRR7892471	NODE_773_length_1352_cov_3.234286	177.963	1352	0.4956	3.0	100.0	1352	1391	1388	0.4659	144	161.38
SRR7892471	NODE_775_length_1352_cov_0.857143	52.0022	1352	0.5547	2.0	98.6686	1334	410	407	0.537	45	47.49
SRR7892471	NODE_781_length_1349_cov_0.912439	31.2135	1349	0.3825	2.0	100.0	1349	228	233	0.4017	27	18.46
SRR7892471	NODE_784_length_1348_cov_0.398853	25.3338	1348	0.457	3.0	99.4807	1341	205	207	0.4685	21	18.16
SRR7892471	NODE_790_length_1346_cov_0.758819	29.3782	1346	0.4101		100.0	1346	223	232	0.4084	30	18.53
SRR7892471	NODE_799_length_1342_cov_0.817284	49.1677	1342	0.4672	3.0	100.0	1342	390	393	0.4652	40	44.63
SRR7892471	NODE_809_length_1337_cov_0.639669	56.4637	1337	0.5228	2.0	99.7008	1333	479	479	0.5371	37	60.41
SRR7892471	NODE_816_length_1334_cov_0.280033	11.8163	1334	0.455	1.0	96.027	1281	90	90	0.4497	10	9.34
SRR7892471	NODE_822_length_1332_cov_0.097095	11.1997	1332	0.4309	1.0	94.2943	1256	98	98	0.4343	10	8.32
SRR7892471	NODE_823_length_1332_cov_0.093776	6.3506	1332	0.4212	2.0	99.8498	1330	50	49	0.4093	6	3.15
SRR7892471	NODE_827_length_1330_cov_0.976725	36.7368	1330	0.5293	3.0	100.0	1330	272	283	0.5055	36	23.1
SRR7892471	NODE_832_length_1330_cov_0.202826	14.4376	1330	0.3744	3.0	100.0	1330	127	122	0.3742	13	9.07
SRR7892471	NODE_837_length_1327_cov_0.260833	11.5154	1327	0.4672	2.0	100.0	1327	87	89	0.4687	11	7.19
SRR7892471	NODE_839_length_1326_cov_7.381151	330.5339	1326	0.3627	3.0	100.0	1326	2470	2454	0.3746	276	203.61
SRR7892471	NODE_840_length_1326_cov_0.538782	17.2127	1326	0.4268	5.0	100.0	1326	120	121	0.4331	14	13.73
SRR7892471	NODE_841_length_1326_cov_0.235196	15.233	1326	0.3492	3.0	100.0	1326	122	122	0.3766	13	9.6
SRR7892471	NODE_842_length_1326_cov_0.207673	16.0392	1326	0.4789	2.0	100.0	1326	121	121	0.4816	11	12.8
SRR7892471	NODE_846_length_1324_cov_8.921470	368.8973	1324	0.392	4.0	100.0	1324	2717	2705	0.3935	222	403.12
SRR7892471	NODE_848_length_1324_cov_0.578947	31.3134	1324	0.3384	3.0	100.0	1324	244	244	0.3599	15	34.72
SRR7892471	NODE_851_length_1323_cov_0.863712	36.8556	1323	0.3424	3.0	100.0	1323	287	288	0.3579	34	25.23
SRR7892471	NODE_854_length_1322_cov_1.308787	51.1014	1322	0.4039	2.0	100.0	1322	397	392	0.4165	46	28.19
SRR7892471	NODE_857_length_1321_cov_0.658291	39.8191	1321	0.4247	1.0	98.7888	1305	309	310	0.4195	31	31.93
SRR7892471	NODE_860_length_1320_cov_0.855826	34.8985	1320	0.4417	2.0	100.0	1320	261	264	0.4392	18	34.79
SRR7892471	NODE_863_length_1320_cov_0.250629	12.247	1320	0.4386	2.0	100.0	1320	92	95	0.4491	10	7.95
SRR7892471	NODE_865_length_1318_cov_5.188077	331.0243	1318	0.3551	5.0	100.0	1318	2590	2575	0.3562	314	218.04
SRR7892471	NODE_868_length_1317_cov_8.157143	566.7122	1317	0.4822	1.0	99.9241	1316	4470	4501	0.503	256	679.88
SRR7892471	NODE_893_length_1305_cov_0.165535	7.2636	1305	0.4567	1.0	100.0	1305	52	54	0.4727	6	4.24
SRR7892471	NODE_898_length_1303_cov_6.399660	429.1773	1303	0.5641	1.0	100.0	1303	3277	3304	0.5734	334	322.44
SRR7892471	NODE_904_length_1302_cov_0.462979	20.1252	1302	0.4155	3.0	100.0	1302	177	182	0.424	17	12.33
SRR7892471	NODE_913_length_1299_cov_17.468430	660.3272	1299	0.4034	3.0	100.0	1299	4612	4606	0.43	131	842.59
SRR7892471	NODE_918_length_1299_cov_0.129693	10.2933	1299	0.495	1.0	100.0	1299	81	79	0.4936	8	6.53
SRR7892471	NODE_923_length_1297_cov_0.524786	16.6176	1297	0.414	2.0	100.0	1297	117	118	0.4284	14	11.47
SRR7892471	NODE_928_length_1294_cov_1.019709	89.9467	1294	0.4189	1.0	100.0	1294	661	661	0.4207	47	93.59
SRR7892471	NODE_931_length_1293_cov_1.616638	117.2892	1293	0.5994	2.0	100.0	1293	893	894	0.5619	36	156.18
SRR7892471	NODE_932_length_1293_cov_0.228988	16.4841	1293	0.6079	3.0	100.0	1293	125	118	0.623	8	15.56
SRR7892471	NODE_940_length_1290_cov_0.926053	47.0574	1290	0.4922	3.0	98.9147	1276	362	364	0.4863	33	39.17
SRR7892471	NODE_946_length_1289_cov_0.311532	20.685	1289	0.4166	2.0	100.0	1289	166	169	0.4032	19	13.05
SRR7892471	NODE_948_length_1288_cov_0.153316	9.3439	1288	0.4363	2.0	100.0	1288	68	67	0.4153	8	5.44
SRR7892471	NODE_963_length_1283_cov_0.191176	14.6025	1283	0.4793	1.0	96.6485	1240	110	110	0.4723	13	10.28
SRR7892471	NODE_977_length_1275_cov_1.661150	48.3686	1275	0.4424	1.0	100.0	1275	332	332	0.4407	50	19.91
SRR7892471	NODE_984_length_1274_cov_0.319093	18.4725	1274	0.3548	4.0	100.0	1274	141	138	0.3645	13	15.15
SRR7892471	NODE_987_length_1273_cov_2.657068	153.0275	1273	0.4996	2.0	100.0	1273	1135	1130	0.5162	140	92.73
SRR7892471	NODE_991_length_1272_cov_0.648035	32.2217	1272	0.4096	1.0	100.0	1272	240	241	0.4187	29	14.82
SRR7892471	NODE_992_length_1272_cov_0.595633	16.6761	1272	0.3947	3.0	98.6635	1255	115	112	0.4116	10	18.3
SRR7892471	NODE_999_length_1270_cov_0.136483	8.9874	1270	0.4394	1.0	98.1102	1246	67	66	0.4498	6	7.45
SRR7892471	NODE_1004_length_1268_cov_0.309378	9.8194	1268	0.4574	1.0	100.0	1268	72	73	0.4561	10	4.49
SRR7892471	NODE_1006_length_1267_cov_0.055263	7.2391	1267	0.4878	2.0	100.0	1267	55	55	0.4728	7	4.16
SRR7892471	NODE_1007_length_1266_cov_0.333626	12.4771	1266	0.4163	2.0	100.0	1266	94	92	0.4271	9	10.19
SRR7892471	NODE_1009_length_1265_cov_3.101933	120.736	1265	0.4506	2.0	99.6047	1260	850	838	0.4467	121	49.46
SRR7892471	NODE_1010_length_1265_cov_2.346221	103.3178	1265	0.4561	2.0	98.8142	1250	734	734	0.4474	60	94.11
SRR7892471	NODE_1012_length_1265_cov_0.192443	16.6806	1265	0.4466	1.0	100.0	1265	123	124	0.449	14	10.65
SRR7892471	NODE_1028_length_1261_cov_0.216931	8.3362	1261	0.4473	1.0	100.0	1261	67	69	0.441	6	7.95
SRR7892471	NODE_1029_length_1260_cov_1.555163	78.7714	1260	0.3881	2.0	100.0	1260	589	606	0.3979	61	55.97
SRR7892471	NODE_1034_length_1260_cov_0.135040	18.9008	1260	0.4254	3.0	100.0	1260	148	171	0.4376	13	21.27
SRR7892471	NODE_1035_length_1259_cov_0.588339	39.5187	1259	0.386	1.0	98.4114	1239	296	297	0.4091	30	39.09
SRR7892471	NODE_1037_length_1259_cov_0.240283	12.7053	1259	0.5488	1.0	100.0	1259	105	105	0.5339	13	6.31
SRR7892471	NODE_1038_length_1259_cov_0.211131	14.6497	1259	0.4512	1.0	100.0	1259	107	109	0.4636	13	8.18
SRR7892471	NODE_1041_length_1257_cov_2.704425	129.7629	1257	0.4686	2.0	100.0	1257	990	968	0.4631	97	100.81
SRR7892471	NODE_1048_length_1254_cov_3.956522	138.1746	1254	0.4466	4.0	99.9203	1253	935	937	0.4523	147	67.95
SRR7892471	NODE_1051_length_1254_cov_0.195209	8.6459	1254	0.4713	2.0	100.0	1254	68	63	0.476	8	4.87
SRR7892471	NODE_1055_length_1253_cov_0.202487	6.0894	1253	0.4118	2.0	99.3615	1245	50	53	0.4071	5	3.11
SRR7892471	NODE_1058_length_1253_cov_0.014210	8.6209	1253	0.482	1.0	100.0	1253	72	72	0.4834	7	6.44
SRR7892471	NODE_1060_length_1252_cov_0.432000	33.5471	1252	0.5655	2.0	100.0	1252	244	254	0.5619	30	22.64
SRR7892471	NODE_1061_length_1252_cov_0.365333	19.0767	1252	0.4289	1.0	97.1246	1216	167	167	0.4431	19	14.91
SRR7892471	NODE_1065_length_1251_cov_0.071174	5.9744	1251	0.3038	1.0	99.2006	1241	48	48	0.3157	6	3.17
